average reward: -0.298, success rate: 0.364, fail rate: 0.581, tie rate: 0.055, average step: 0.029, blackjack rate: 0.053
average reward: -0.265, success rate: 0.371, fail rate: 0.565, tie rate: 0.064, average step: 0.065, blackjack rate: 0.057
average reward: -0.198, success rate: 0.361, fail rate: 0.521, tie rate: 0.118, average step: 0.477, blackjack rate: 0.087
average reward: -0.149, success rate: 0.368, fail rate: 0.496, tie rate: 0.136, average step: 0.640, blackjack rate: 0.098
average reward: -0.126, success rate: 0.376, fail rate: 0.483, tie rate: 0.141, average step: 0.682, blackjack rate: 0.102
average reward: -0.117, success rate: 0.383, fail rate: 0.458, tie rate: 0.159, average step: 0.709, blackjack rate: 0.114
average reward: -0.104, success rate: 0.387, fail rate: 0.431, tie rate: 0.182, average step: 0.737, blackjack rate: 0.127
average reward: -0.093, success rate: 0.401, fail rate: 0.427, tie rate: 0.172, average step: 0.746, blackjack rate: 0.120
average reward: -0.081, success rate: 0.407, fail rate: 0.424, tie rate: 0.169, average step: 0.766, blackjack rate: 0.118
average reward: -0.075, success rate: 0.406, fail rate: 0.420, tie rate: 0.173, average step: 0.777, blackjack rate: 0.118
average reward: -0.071, success rate: 0.402, fail rate: 0.413, tie rate: 0.185, average step: 0.805, blackjack rate: 0.121
average reward: -0.064, success rate: 0.403, fail rate: 0.409, tie rate: 0.189, average step: 0.825, blackjack rate: 0.123
average reward: -0.061, success rate: 0.401, fail rate: 0.410, tie rate: 0.189, average step: 0.834, blackjack rate: 0.122
average reward: -0.060, success rate: 0.398, fail rate: 0.416, tie rate: 0.186, average step: 0.834, blackjack rate: 0.120
average reward: -0.056, success rate: 0.402, fail rate: 0.416, tie rate: 0.182, average step: 0.832, blackjack rate: 0.119
average reward: -0.050, success rate: 0.408, fail rate: 0.414, tie rate: 0.178, average step: 0.844, blackjack rate: 0.123
average reward: -0.046, success rate: 0.409, fail rate: 0.417, tie rate: 0.174, average step: 0.857, blackjack rate: 0.123
average reward: -0.045, success rate: 0.408, fail rate: 0.419, tie rate: 0.173, average step: 0.867, blackjack rate: 0.126
average reward: -0.041, success rate: 0.408, fail rate: 0.411, tie rate: 0.181, average step: 0.875, blackjack rate: 0.129
average reward: -0.041, success rate: 0.410, fail rate: 0.418, tie rate: 0.172, average step: 0.864, blackjack rate: 0.124
